Model: ,Oscilloscope MSO6104A
Serial Number:,MY44002304
Address: ,USBInstrument1
Date: ,2020-10-22 21:15:36

Sample Number,Time (s),1 (VOLT),4 (VOLT),
1,-0.045,-1.19209289550781E-07,0.118750441819429,
2,-0.04,0.057499885559082,0.0875004455447197,
3,-0.035,0.0862498879432678,0.118750441819429,
4,-0.03,0.0862498879432678,0.118750441819429,
5,-0.025,0.114999890327454,0.150000438094139,
6,-0.02,0.114999890327454,0.118750441819429,
7,-0.015,0.0862498879432678,0.118750441819429,
8,-0.01,0.0862498879432678,0.0875004455447197,
9,-0.005,0.114999890327454,0.118750441819429,
10,0,2.01250004768372,2.02500021457672,
11,0.005,2.07000005245209,2.05625021085143,
12,0.01,2.09875005483627,2.05625021085143,
13,0.015,2.09875005483627,2.11875020340085,
14,0.02,2.09875005483627,2.08750020712614,
15,0.025,2.12750005722046,2.15000019967556,
16,0.03,2.12750005722046,2.11875020340085,
17,0.035,2.18500006198883,2.11875020340085,
18,0.04,2.12750005722046,2.11875020340085,
19,0.045,2.12750005722046,2.11875020340085,
20,0.05,2.09875005483627,2.11875020340085,
21,0.055,2.15625005960464,2.15000019967556,
22,0.06,2.12750005722046,2.15000019967556,
23,0.065,2.15625005960464,2.15000019967556,
24,0.07,2.15625005960464,2.15000019967556,
25,0.075,2.18500006198883,2.15000019967556,
26,0.08,2.15625005960464,2.11875020340085,
27,0.085,2.18500006198883,2.15000019967556,
28,0.09,2.15625005960464,2.11875020340085,
29,0.095,2.15625005960464,2.11875020340085,
30,0.1,2.15625005960464,2.15000019967556,
31,0.105,2.15625005960464,2.15000019967556,
32,0.11,2.18500006198883,2.18125019595027,
33,0.115,2.18500006198883,2.15000019967556,
34,0.12,2.18500006198883,2.18125019595027,
35,0.125,2.15625005960464,2.15000019967556,
36,0.13,2.18500006198883,2.18125019595027,
37,0.135,2.18500006198883,2.15000019967556,
38,0.14,2.15625005960464,2.18125019595027,
39,0.145,2.15625005960464,2.15000019967556,
40,0.15,2.15625005960464,2.15000019967556,
41,0.155,2.18500006198883,2.15000019967556,
42,0.16,2.15625005960464,2.21250019222498,
43,0.165,2.18500006198883,2.21250019222498,
44,0.17,2.21375006437302,2.15000019967556,
45,0.175,2.18500006198883,2.21250019222498,
46,0.18,2.21375006437302,2.18125019595027,
47,0.185,2.21375006437302,2.18125019595027,
48,0.19,2.18500006198883,2.18125019595027,
49,0.195,2.21375006437302,2.21250019222498,
50,0.2,2.18500006198883,2.21250019222498,
