Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.05,-0.0312501229345798,-0.00624954327940941,
Firmware Version:,06.20.0000,,-0.045,-0.0312501229345798,-0.00624954327940941,
Start Time:,2020-10-23 15:30:04.678,,-0.04,-0.0156251210719347,-0.0374995395541191,
,,,-0.035,-0.0156251210719347,0.0250004529953003,
Analog Sample Count:,1000,,-0.03,0.0156248826533556,-0.00624954327940941,
Function Sample Count:,0,,-0.025,-1.19209289550781E-07,-0.00624954327940941,
Waveform Memory Sample Count:,0,,-0.02,0.0312498845160007,-0.00624954327940941,
Digital Sample Count:,0,,-0.015,0.0312498845160007,-0.00624954327940941,
,,,-0.01,0.0468748863786459,-0.00624954327940941,
Setup Text Information:,,,-0.005,0.062499888241291,-0.0374995395541191,
ANALOG,,,0,2.00000011920929,2.11875020340085,
Channel 1,,,0.005,2.21875014528632,2.18125019595027,
Scale,500 mV/,,0.01,2.18750014156103,2.15000019967556,
Pos,1 V,,0.015,2.15625013783574,2.15000019967556,
Coup,,,0.02,2.1406251359731,2.15000019967556,
BW,Off,,0.025,2.17187513969839,2.18125019595027,
Inv,Off,,0.03,2.18750014156103,2.18125019595027,
Imp,1M Ohm,,0.035,2.20312514342368,2.24375018849969,
Trace Label,1,,0.04,2.23437514714897,2.24375018849969,
Probe,10,,0.045,2.18750014156103,2.18125019595027,
Skew,0 s,,0.05,2.18750014156103,2.21250019222498,
,,,0.055,2.18750014156103,2.21250019222498,
Channel 4,,,0.06,2.15625013783574,2.18125019595027,
Scale,1 V/,,0.065,2.20312514342368,2.21250019222498,
Pos,3.025 V,,0.07,2.20312514342368,2.21250019222498,
Coup,,,0.075,2.20312514342368,2.21250019222498,
BW,Off,,0.08,2.21875014528632,2.21250019222498,
Inv,Off,,0.085,2.21875014528632,2.21250019222498,
Imp,1M Ohm,,0.09,2.20312514342368,2.21250019222498,
Trace Label,4,,0.095,2.15625013783574,2.15000019967556,
Probe,10,,0.1,2.1406251359731,2.11875020340085,
Skew,0 s,,0.105,2.15625013783574,2.18125019595027,
,,,0.11,2.21875014528632,2.18125019595027,
MATH,,,0.115,2.12500013411045,2.18125019595027,
DIGITAL,,,0.12,2.18750014156103,2.11875020340085,
TRIGGER,,,0.125,2.21875014528632,2.24375018849969,
Sweep Mode,AUTO,,0.13,2.17187513969839,2.15000019967556,
Coup,DC,,0.135,2.17187513969839,2.18125019595027,
Noise Rej,Off,,0.14,2.18750014156103,2.18125019595027,
HF Rej,Off,,0.145,2.20312514342368,2.24375018849969,
Holdoff,60.0 ns,,0.15,2.1406251359731,2.18125019595027,
Mode,EDGE,,0.155,2.20312514342368,2.21250019222498,
Source,CHAN1,,0.16,2.20312514342368,2.21250019222498,
Slope,POS,,0.165,2.21875014528632,2.21250019222498,
Level,920 mV V,,0.17,2.18750014156103,2.21250019222498,
,,,0.175,2.20312514342368,2.21250019222498,
HORIZONTAL,,,0.18,2.20312514342368,2.18125019595027,
Mode,MAIN,,0.185,2.20312514342368,2.21250019222498,
Ref,CENT,,0.19,2.21875014528632,2.21250019222498,
