Model: ,Oscilloscope MSO6104A
Serial Number:,MY44002304
Address: ,USBInstrument1
Date: ,2020-10-22 20:11:45

Sample Number,Time (s),1 (VOLT),4 (VOLT),
1,-0.045,0.114999890327454,0.0250004529953003,
2,-0.04,0.114999890327454,0.0250004529953003,
3,-0.035,0.114999890327454,-0.0374995395541191,
4,-0.03,0.114999890327454,0.0250004529953003,
5,-0.025,0.143749892711639,-0.00624954327940941,
6,-0.02,0.143749892711639,-0.00624954327940941,
7,-0.015,0.114999890327454,0.0250004529953003,
8,-0.01,0.114999890327454,0.0250004529953003,
9,-0.005,0.114999890327454,0.0250004529953003,
10,0,2.01250004768372,1.99375021830201,
11,0.005,2.0412500500679,2.02500021457672,
12,0.01,2.01250004768372,1.99375021830201,
13,0.015,2.01250004768372,1.99375021830201,
14,0.02,1.95500004291534,1.99375021830201,
15,0.025,1.95500004291534,1.9625002220273,
16,0.03,1.98375004529953,1.9625002220273,
17,0.035,2.01250004768372,1.9625002220273,
18,0.04,1.98375004529953,2.02500021457672,
19,0.045,2.01250004768372,1.99375021830201,
20,0.05,1.98375004529953,1.99375021830201,
21,0.055,2.0412500500679,1.99375021830201,
22,0.06,2.01250004768372,2.02500021457672,
23,0.065,2.0412500500679,2.02500021457672,
24,0.07,2.0412500500679,2.02500021457672,
25,0.075,2.01250004768372,2.02500021457672,
26,0.08,2.01250004768372,2.05625021085143,
27,0.085,2.01250004768372,1.99375021830201,
28,0.09,2.01250004768372,2.05625021085143,
29,0.095,2.01250004768372,2.02500021457672,
30,0.1,2.0412500500679,2.05625021085143,
31,0.105,2.07000005245209,2.02500021457672,
32,0.11,2.07000005245209,2.05625021085143,
33,0.115,2.0412500500679,2.02500021457672,
34,0.12,2.01250004768372,2.02500021457672,
35,0.125,2.0412500500679,2.02500021457672,
36,0.13,2.01250004768372,2.02500021457672,
37,0.135,1.98375004529953,1.99375021830201,
38,0.14,2.01250004768372,1.99375021830201,
39,0.145,2.0412500500679,2.02500021457672,
40,0.15,2.01250004768372,2.02500021457672,
41,0.155,1.98375004529953,2.02500021457672,
42,0.16,1.98375004529953,2.02500021457672,
43,0.165,2.01250004768372,1.99375021830201,
44,0.17,2.01250004768372,2.02500021457672,
45,0.175,2.01250004768372,2.02500021457672,
46,0.18,2.01250004768372,1.99375021830201,
47,0.185,2.01250004768372,2.02500021457672,
48,0.19,2.0412500500679,2.02500021457672,
49,0.195,1.98375004529953,2.02500021457672,
50,0.2,1.98375004529953,2.02500021457672,
51,0.205,2.0412500500679,2.02500021457672,
52,0.21,2.01250004768372,2.02500021457672,
53,0.215,1.98375004529953,2.02500021457672,
54,0.22,2.01250004768372,1.99375021830201,
55,0.225,2.01250004768372,1.99375021830201,
