Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,-1.19209289550781E-07,0.243750426918268,
Firmware Version:,06.20.0000,,-0.04,-0.0287501215934753,0.243750426918268,
Start Time:,2020-10-22 19:25:23.219,,-0.035,-0.0287501215934753,0.243750426918268,
,,,-0.03,-0.0575001239776611,0.275000423192978,
Analog Sample Count:,1000,,-0.025,0.057499885559082,0.243750426918268,
Function Sample Count:,0,,-0.02,0.0862498879432678,0.243750426918268,
Waveform Memory Sample Count:,0,,-0.015,0.0862498879432678,0.212500430643559,
Digital Sample Count:,0,,-0.01,0.0862498879432678,0.243750426918268,
,,,-0.005,0.0862498879432678,0.275000423192978,
Setup Text Information:,,,0,2.09875005483627,2.11875020340085,
ANALOG,,,0.005,2.18500006198883,2.21250019222498,
Channel 1,,,0.01,2.18500006198883,2.21250019222498,
Scale,920 mV/,,0.015,2.21375006437302,2.18125019595027,
Pos,1.84 V,,0.02,2.18500006198883,2.18125019595027,
Coup,,,0.025,2.18500006198883,2.18125019595027,
BW,Off,,0.03,2.18500006198883,2.21250019222498,
Inv,Off,,0.035,2.18500006198883,2.18125019595027,
Imp,1M Ohm,,0.04,2.15625005960464,2.18125019595027,
Trace Label,1,,0.045,2.18500006198883,2.21250019222498,
Probe,10,,0.05,2.21375006437302,2.15000019967556,
Skew,0 s,,0.055,2.18500006198883,2.18125019595027,
,,,0.06,2.18500006198883,2.18125019595027,
Channel 4,,,0.065,2.15625005960464,2.18125019595027,
Scale,1 V/,,0.07,2.21375006437302,2.21250019222498,
Pos,3.025 V,,0.075,2.18500006198883,2.18125019595027,
Coup,,,0.08,2.15625005960464,2.18125019595027,
BW,Off,,0.085,2.18500006198883,2.21250019222498,
Inv,Off,,0.09,2.18500006198883,2.18125019595027,
Imp,1M Ohm,,0.095,2.18500006198883,2.18125019595027,
Trace Label,4,,0.1,2.18500006198883,2.21250019222498,
Probe,10,,0.105,2.21375006437302,2.18125019595027,
Skew,0 s,,0.11,2.15625005960464,2.18125019595027,
,,,0.115,2.18500006198883,2.18125019595027,
MATH,,,0.12,2.18500006198883,2.24375018849969,
DIGITAL,,,0.125,2.18500006198883,2.21250019222498,
TRIGGER,,,0.13,2.18500006198883,2.18125019595027,
Sweep Mode,NORM,,0.135,2.18500006198883,2.21250019222498,
Coup,DC,,0.14,2.15625005960464,2.18125019595027,
Noise Rej,Off,,0.145,2.15625005960464,2.21250019222498,
HF Rej,Off,,0.15,2.15625005960464,2.18125019595027,
Holdoff,60.0 ns,,0.155,2.18500006198883,2.18125019595027,
Mode,EDGE,,0.16,2.15625005960464,2.24375018849969,
Source,CHAN1,,0.165,2.18500006198883,2.18125019595027,
Slope,POS,,0.17,2.18500006198883,2.18125019595027,
Level,920 mV V,,0.175,2.18500006198883,2.21250019222498,
,,,0.18,2.15625005960464,2.21250019222498,
HORIZONTAL,,,0.185,2.18500006198883,2.21250019222498,
Mode,MAIN,,0.19,2.15625005960464,2.18125019595027,
Ref,CENT,,0.195,2.15625005960464,2.18125019595027,
Main Scale,500 ms/,,0.2,2.18500006198883,2.18125019595027,
Main Delay,2.455 s,,0.205,2.18500006198883,2.18125019595027,
,,,0.21,2.15625005960464,2.21250019222498,
ACQUISITION,,,0.215,2.15625005960464,2.18125019595027,
Mode,NORM,,0.22,2.18500006198883,2.18125019595027,
RealTime,On,,0.225,2.18500006198883,2.18125019595027,
Vectors,On,,0.23,2.18500006198883,2.18125019595027,
Persistence,Off,,0.235,2.18500006198883,2.18125019595027,
,,,0.24,2.18500006198883,2.18125019595027,
,,,0.245,2.18500006198883,2.21250019222498,
,,,0.25,2.18500006198883,2.18125019595027,
,,,0.255,2.18500006198883,2.18125019595027,
,,,0.26,2.18500006198883,2.21250019222498,
,,,0.265,2.18500006198883,2.21250019222498,
,,,0.27,2.18500006198883,2.21250019222498,
,,,0.275,2.18500006198883,2.24375018849969,
,,,0.28,2.18500006198883,2.24375018849969,
,,,0.285,2.18500006198883,2.18125019595027,
,,,0.29,2.15625005960464,2.21250019222498,
,,,0.295,2.18500006198883,2.18125019595027,
,,,0.3,2.12750005722046,2.18125019595027,
,,,0.305,2.18500006198883,2.15000019967556,
,,,0.31,2.21375006437302,2.21250019222498,
,,,0.315,2.18500006198883,2.18125019595027,
,,,0.32,2.18500006198883,2.21250019222498,
,,,0.325,2.18500006198883,2.18125019595027,
,,,0.33,2.18500006198883,2.18125019595027,
,,,0.335,2.15625005960464,2.18125019595027,
,,,0.34,2.18500006198883,2.21250019222498,
,,,0.345,2.18500006198883,2.24375018849969,
