Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,0.114999890327454,0.0250004529953003,
Firmware Version:,06.20.0000,,-0.04,0.172499895095825,0.0250004529953003,
Start Time:,2020-10-21 22:14:27.330,,-0.035,0.172499895095825,0.05625044927001,
,,,-0.03,0.143749892711639,0.05625044927001,
Analog Sample Count:,1000,,-0.025,0.143749892711639,0.0250004529953003,
Function Sample Count:,0,,-0.02,0.172499895095825,0.0250004529953003,
Waveform Memory Sample Count:,0,,-0.015,0.172499895095825,0.0250004529953003,
Digital Sample Count:,0,,-0.01,0.143749892711639,0.0250004529953003,
,,,-0.005,0.143749892711639,0.0250004529953003,
Setup Text Information:,,,0,2.0412500500679,2.05625021085143,
ANALOG,,,0.005,2.0412500500679,2.02500021457672,
Channel 1,,,0.01,2.07000005245209,2.05625021085143,
Scale,920 mV/,,0.015,2.07000005245209,2.05625021085143,
Pos,1.84 V,,0.02,2.09875005483627,2.02500021457672,
Coup,,,0.025,2.07000005245209,2.08750020712614,
BW,Off,,0.03,2.0412500500679,2.05625021085143,
Inv,Off,,0.035,2.07000005245209,2.02500021457672,
Imp,1M Ohm,,0.04,2.07000005245209,2.05625021085143,
Trace Label,1,,0.045,2.0412500500679,2.05625021085143,
Probe,10,,0.05,2.0412500500679,2.05625021085143,
Skew,0 s,,0.055,2.09875005483627,2.08750020712614,
,,,0.06,2.07000005245209,2.08750020712614,
Channel 4,,,0.065,2.0412500500679,2.08750020712614,
Scale,1 V/,,0.07,2.07000005245209,2.05625021085143,
Pos,3.025 V,,0.075,2.0412500500679,2.05625021085143,
Coup,,,0.08,2.07000005245209,2.02500021457672,
BW,Off,,0.085,2.07000005245209,2.08750020712614,
Inv,Off,,0.09,2.0412500500679,2.08750020712614,
Imp,1M Ohm,,0.095,2.0412500500679,2.05625021085143,
Trace Label,4,,0.1,2.07000005245209,2.05625021085143,
Probe,10,,0.105,2.07000005245209,2.05625021085143,
Skew,0 s,,0.11,2.07000005245209,2.05625021085143,
,,,0.115,2.0412500500679,2.08750020712614,
MATH,,,0.12,2.0412500500679,2.05625021085143,
DIGITAL,,,0.125,2.0412500500679,2.05625021085143,
TRIGGER,,,0.13,2.07000005245209,2.05625021085143,
Sweep Mode,NORM,,0.135,2.07000005245209,2.05625021085143,
Coup,DC,,0.14,2.0412500500679,2.05625021085143,
Noise Rej,Off,,0.145,2.0412500500679,2.05625021085143,
HF Rej,Off,,0.15,2.0412500500679,2.05625021085143,
Holdoff,60.0 ns,,0.155,2.07000005245209,2.02500021457672,
Mode,EDGE,,0.16,2.0412500500679,2.08750020712614,
Source,CHAN1,,0.165,2.07000005245209,2.05625021085143,
Slope,POS,,0.17,2.07000005245209,2.05625021085143,
Level,920 mV V,,0.175,2.0412500500679,2.08750020712614,
,,,0.18,2.01250004768372,2.05625021085143,
HORIZONTAL,,,0.185,2.0412500500679,2.05625021085143,
Mode,MAIN,,0.19,2.07000005245209,2.05625021085143,
Ref,CENT,,0.195,2.0412500500679,2.02500021457672,
Main Scale,500 ms/,,0.2,2.01250004768372,2.05625021085143,
Main Delay,2.455 s,,0.205,2.01250004768372,2.05625021085143,
,,,0.21,2.01250004768372,1.99375021830201,
ACQUISITION,,,0.215,1.98375004529953,1.99375021830201,
Mode,NORM,,0.22,1.98375004529953,1.99375021830201,
RealTime,On,,0.225,2.01250004768372,1.9625002220273,
Vectors,On,,0.23,1.98375004529953,1.99375021830201,
Persistence,Off,,0.235,2.01250004768372,1.9625002220273,
,,,0.24,2.01250004768372,1.99375021830201,
,,,0.245,1.98375004529953,1.99375021830201,
,,,0.25,1.98375004529953,1.93125022575259,
,,,0.255,2.01250004768372,1.99375021830201,
,,,0.26,1.98375004529953,2.02500021457672,
,,,0.265,1.98375004529953,1.9625002220273,
,,,0.27,1.98375004529953,1.99375021830201,
,,,0.275,1.98375004529953,1.9625002220273,
,,,0.28,1.98375004529953,1.93125022575259,
,,,0.285,1.95500004291534,2.02500021457672,
,,,0.29,1.98375004529953,1.9625002220273,
,,,0.295,1.98375004529953,1.99375021830201,
,,,0.3,1.98375004529953,1.9625002220273,
,,,0.305,1.98375004529953,1.99375021830201,
,,,0.31,2.01250004768372,1.99375021830201,
,,,0.315,1.95500004291534,1.99375021830201,
,,,0.32,1.98375004529953,1.99375021830201,
,,,0.325,1.95500004291534,1.9625002220273,
,,,0.33,1.98375004529953,1.9625002220273,
,,,0.335,1.95500004291534,1.9625002220273,
,,,0.34,1.95500004291534,1.93125022575259,
,,,0.345,1.98375004529953,1.93125022575259,
,,,0.35,1.95500004291534,1.9625002220273,
,,,0.355,1.92625004053116,1.9625002220273,
,,,0.36,1.95500004291534,1.9625002220273,
,,,0.365,1.95500004291534,1.9625002220273,
,,,0.37,1.92625004053116,1.9625002220273,
,,,0.375,1.95500004291534,1.9625002220273,
,,,0.38,1.95500004291534,1.9625002220273,
,,,0.385,1.95500004291534,1.93125022575259,
,,,0.39,1.92625004053116,1.93125022575259,
,,,0.395,1.95500004291534,1.93125022575259,
,,,0.4,1.98375004529953,1.9625002220273,
,,,0.405,1.95500004291534,1.9625002220273,
,,,0.41,2.01250004768372,1.9625002220273,
,,,0.415,1.98375004529953,1.99375021830201,
,,,0.42,1.95500004291534,1.99375021830201,
,,,0.425,1.98375004529953,1.9625002220273,
,,,0.43,1.98375004529953,1.99375021830201,
,,,0.435,1.98375004529953,1.99375021830201,
,,,0.44,2.01250004768372,1.99375021830201,
,,,0.445,1.98375004529953,1.99375021830201,
,,,0.45,2.01250004768372,2.02500021457672,
,,,0.455,1.98375004529953,1.99375021830201,
,,,0.46,1.98375004529953,1.99375021830201,
,,,0.465,2.01250004768372,2.02500021457672,
,,,0.47,1.98375004529953,1.99375021830201,
,,,0.475,2.01250004768372,1.99375021830201,
,,,0.48,2.01250004768372,1.9625002220273,
,,,0.485,2.01250004768372,1.99375021830201,
,,,0.49,2.01250004768372,1.99375021830201,
,,,0.495,2.0412500500679,2.02500021457672,
,,,0.5,1.98375004529953,2.02500021457672,
,,,0.505,2.01250004768372,2.02500021457672,
,,,0.51,1.98375004529953,2.02500021457672,
,,,0.515,2.01250004768372,1.99375021830201,
,,,0.52,2.01250004768372,2.02500021457672,
,,,0.525,2.01250004768372,1.99375021830201,
,,,0.53,2.01250004768372,1.9625002220273,
,,,0.535,2.01250004768372,2.02500021457672,
,,,0.54,1.98375004529953,2.02500021457672,
,,,0.545,1.98375004529953,2.02500021457672,
,,,0.55,2.01250004768372,2.02500021457672,
,,,0.555,1.98375004529953,2.02500021457672,
,,,0.56,2.01250004768372,2.02500021457672,
,,,0.565,2.01250004768372,2.02500021457672,
,,,0.57,2.01250004768372,2.02500021457672,
,,,0.575,2.01250004768372,2.02500021457672,
,,,0.58,2.01250004768372,2.02500021457672,
,,,0.585,1.98375004529953,2.02500021457672,
,,,0.59,2.0412500500679,2.02500021457672,
,,,0.595,1.98375004529953,1.99375021830201,
,,,0.6,1.98375004529953,1.9625002220273,
,,,0.605,2.01250004768372,1.99375021830201,
,,,0.61,1.95500004291534,1.99375021830201,
,,,0.615,1.95500004291534,1.93125022575259,
,,,0.62,1.95500004291534,1.9625002220273,
,,,0.625,1.95500004291534,1.99375021830201,
,,,0.63,1.98375004529953,1.99375021830201,
,,,0.635,1.95500004291534,1.9625002220273,
,,,0.64,1.95500004291534,1.9625002220273,
,,,0.645,1.92625004053116,1.9625002220273,
,,,0.65,1.95500004291534,1.9625002220273,
,,,0.655,1.95500004291534,1.9625002220273,
,,,0.66,1.98375004529953,1.99375021830201,
,,,0.665,1.98375004529953,1.93125022575259,
,,,0.67,1.92625004053116,1.9625002220273,
,,,0.675,1.95500004291534,1.93125022575259,
,,,0.68,1.95500004291534,1.9625002220273,
,,,0.685,1.95500004291534,1.93125022575259,
,,,0.69,1.95500004291534,1.9625002220273,
,,,0.695,1.95500004291534,1.93125022575259,
,,,0.7,1.95500004291534,1.93125022575259,
,,,0.705,1.95500004291534,1.9625002220273,
,,,0.71,1.92625004053116,1.9625002220273,
,,,0.715,1.92625004053116,1.93125022575259,
,,,0.72,1.92625004053116,1.93125022575259,
,,,0.725,1.95500004291534,1.93125022575259,
,,,0.73,1.92625004053116,1.9625002220273,
,,,0.735,1.92625004053116,1.93125022575259,
,,,0.74,1.95500004291534,1.93125022575259,
,,,0.745,1.95500004291534,1.9625002220273,
,,,0.75,1.92625004053116,1.93125022575259,
,,,0.755,1.95500004291534,1.93125022575259,
,,,0.76,1.89750003814697,1.93125022575259,
,,,0.765,1.95500004291534,1.93125022575259,
,,,0.77,1.92625004053116,1.9625002220273,
,,,0.775,1.98375004529953,1.93125022575259,
,,,0.78,1.92625004053116,1.9625002220273,
