Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,-0.0575001239776611,-0.00624954327940941,
Firmware Version:,06.20.0000,,-0.04,-0.0287501215934753,-0.00624954327940941,
Start Time:,2020-10-22 19:24:20.643,,-0.035,-0.0287501215934753,-0.0374995395541191,
,,,-0.03,-0.0575001239776611,-0.0374995395541191,
Analog Sample Count:,1000,,-0.025,-0.0287501215934753,-0.00624954327940941,
Function Sample Count:,0,,-0.02,-0.0287501215934753,-0.00624954327940941,
Waveform Memory Sample Count:,0,,-0.015,-1.19209289550781E-07,-0.0374995395541191,
Digital Sample Count:,0,,-0.01,-0.0287501215934753,0.0250004529953003,
,,,-0.005,-1.19209289550781E-07,0.0250004529953003,
Setup Text Information:,,,0,2.07000005245209,2.08750020712614,
ANALOG,,,0.005,2.21375006437302,2.21250019222498,
Channel 1,,,0.01,2.21375006437302,2.21250019222498,
Scale,920 mV/,,0.015,2.18500006198883,2.18125019595027,
Pos,1.84 V,,0.02,2.18500006198883,2.21250019222498,
Coup,,,0.025,2.15625005960464,2.18125019595027,
BW,Off,,0.03,2.15625005960464,2.21250019222498,
Inv,Off,,0.035,2.18500006198883,2.21250019222498,
Imp,1M Ohm,,0.04,2.18500006198883,2.18125019595027,
Trace Label,1,,0.045,2.15625005960464,2.21250019222498,
Probe,10,,0.05,2.18500006198883,2.21250019222498,
Skew,0 s,,0.055,2.18500006198883,2.18125019595027,
,,,0.06,2.18500006198883,2.18125019595027,
Channel 4,,,0.065,2.21375006437302,2.18125019595027,
Scale,1 V/,,0.07,2.21375006437302,2.21250019222498,
Pos,3.025 V,,0.075,2.18500006198883,2.24375018849969,
Coup,,,0.08,2.21375006437302,2.18125019595027,
BW,Off,,0.085,2.18500006198883,2.15000019967556,
Inv,Off,,0.09,2.15625005960464,2.21250019222498,
Imp,1M Ohm,,0.095,2.18500006198883,2.21250019222498,
Trace Label,4,,0.1,2.18500006198883,2.18125019595027,
Probe,10,,0.105,2.21375006437302,2.18125019595027,
Skew,0 s,,0.11,2.18500006198883,2.18125019595027,
