Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.03,-1.19209289550781E-07,0.05625044927001,
Firmware Version:,06.20.0000,,-0.025,-1.19209289550781E-07,0.05625044927001,
Start Time:,2020-10-21 16:58:46.510,,-0.02,-1.19209289550781E-07,0.05625044927001,
,,,-0.015,-1.19209289550781E-07,0.05625044927001,
Analog Sample Count:,1000,,-0.01,0.0862498879432678,0.05625044927001,
Function Sample Count:,0,,-0.005,0.114999890327454,0.05625044927001,
Waveform Memory Sample Count:,0,,0,2.15625005960464,2.11875020340085,
Digital Sample Count:,0,,0.005,2.2425000667572,2.24375018849969,
,,,0.01,2.2425000667572,2.21250019222498,
Setup Text Information:,,,0.015,2.21375006437302,2.18125019595027,
ANALOG,,,0.02,2.21375006437302,2.24375018849969,
Channel 1,,,0.025,2.21375006437302,2.21250019222498,
Scale,920 mV/,,0.03,2.18500006198883,2.15000019967556,
Pos,1.84 V,,0.035,2.21375006437302,2.18125019595027,
Coup,,,0.04,2.21375006437302,2.21250019222498,
BW,Off,,0.045,2.18500006198883,2.24375018849969,
Inv,Off,,0.05,2.21375006437302,2.21250019222498,
Imp,1M Ohm,,0.055,2.21375006437302,2.21250019222498,
Trace Label,1,,0.06,2.2425000667572,2.21250019222498,
Probe,10,,0.065,2.18500006198883,2.21250019222498,
Skew,0 s,,0.07,2.18500006198883,2.21250019222498,
,,,0.075,2.21375006437302,2.21250019222498,
Channel 4,,,0.08,2.21375006437302,2.21250019222498,
Scale,1 V/,,0.085,2.21375006437302,2.21250019222498,
Pos,3.025 V,,0.09,2.21375006437302,2.18125019595027,
Coup,,,0.095,2.21375006437302,2.21250019222498,
BW,Off,,0.1,2.18500006198883,2.18125019595027,
Inv,Off,,0.105,2.18500006198883,2.24375018849969,
Imp,1M Ohm,,0.11,2.2425000667572,2.18125019595027,
Trace Label,4,,0.115,2.21375006437302,2.21250019222498,
Probe,10,,0.12,2.2425000667572,2.21250019222498,
Skew,0 s,,0.125,2.18500006198883,2.21250019222498,
,,,0.13,2.21375006437302,2.18125019595027,
MATH,,,0.135,2.21375006437302,2.21250019222498,
DIGITAL,,,0.14,2.21375006437302,2.21250019222498,
TRIGGER,,,0.145,2.21375006437302,2.21250019222498,
Sweep Mode,NORM,,0.15,2.21375006437302,2.24375018849969,
Coup,DC,,0.155,2.2425000667572,2.24375018849969,
Noise Rej,Off,,0.16,2.21375006437302,2.18125019595027,
HF Rej,Off,,0.165,2.21375006437302,2.21250019222498,
Holdoff,60.0 ns,,0.17,2.18500006198883,2.18125019595027,
Mode,EDGE,,0.175,2.18500006198883,2.21250019222498,
Source,CHAN1,,0.18,2.21375006437302,2.21250019222498,
Slope,POS,,0.185,2.21375006437302,2.21250019222498,
Level,920 mV V,,0.19,2.21375006437302,2.18125019595027,
,,,0.195,2.18500006198883,2.18125019595027,
HORIZONTAL,,,0.2,2.21375006437302,2.24375018849969,
Mode,MAIN,,0.205,2.21375006437302,2.21250019222498,
Ref,CENT,,0.21,2.21375006437302,2.24375018849969,
Main Scale,500 ms/,,0.215,2.18500006198883,2.21250019222498,
Main Delay,2.47 s,,0.22,2.21375006437302,2.18125019595027,
,,,0.225,2.2425000667572,2.21250019222498,
ACQUISITION,,,0.23,2.21375006437302,2.21250019222498,
Mode,NORM,,0.235,2.21375006437302,2.18125019595027,
RealTime,On,,0.24,2.2425000667572,2.18125019595027,
Vectors,On,,0.245,2.21375006437302,2.21250019222498,
Persistence,Off,,0.25,2.2425000667572,2.24375018849969,
,,,0.255,2.18500006198883,2.21250019222498,
,,,0.26,2.21375006437302,2.21250019222498,
,,,0.265,2.18500006198883,2.21250019222498,
,,,0.27,2.21375006437302,2.21250019222498,
,,,0.275,2.21375006437302,2.21250019222498,
,,,0.28,2.21375006437302,2.24375018849969,
,,,0.285,2.21375006437302,2.18125019595027,
,,,0.29,2.21375006437302,2.21250019222498,
,,,0.295,2.21375006437302,2.18125019595027,
,,,0.3,2.21375006437302,2.21250019222498,
,,,0.305,2.21375006437302,2.21250019222498,
,,,0.31,2.18500006198883,2.21250019222498,
,,,0.315,2.21375006437302,2.21250019222498,
,,,0.32,2.21375006437302,2.24375018849969,
,,,0.325,2.2425000667572,2.21250019222498,
,,,0.33,2.18500006198883,2.21250019222498,
,,,0.335,2.21375006437302,2.21250019222498,
,,,0.34,2.18500006198883,2.24375018849969,
,,,0.345,2.2425000667572,2.21250019222498,
,,,0.35,2.18500006198883,2.15000019967556,
,,,0.355,2.21375006437302,2.21250019222498,
,,,0.36,2.18500006198883,2.21250019222498,
,,,0.365,2.21375006437302,2.21250019222498,
,,,0.37,2.18500006198883,2.21250019222498,
,,,0.375,2.18500006198883,2.21250019222498,
,,,0.38,2.21375006437302,2.21250019222498,
