firmwareSize,successful updates,elapsed time
407,5,15.1404571
407,5,37.145355
407,5,37.8091933
407,5,30.302796
407,5,26.8761878
407,4,15.2025028
407,5,28.8837646
407,4,21.967291
407,5,37.5742588
407,5,28.9234797
407,5,22.0211051
407,4,37.8172088
407,5,23.7920745
407,5,28.7455663
407,5,16.7050953
