Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.05,-0.046875124797225,0.275000423192978,
Firmware Version:,06.20.0000,,-0.045,-0.0312501229345798,0.275000423192978,
Start Time:,2020-10-23 15:27:44.989,,-0.04,-0.0312501229345798,0.243750426918268,
,,,-0.035,-0.046875124797225,0.306250419467688,
Analog Sample Count:,1000,,-0.03,-0.0156251210719347,0.275000423192978,
Function Sample Count:,0,,-0.025,-0.0312501229345798,0.275000423192978,
Waveform Memory Sample Count:,0,,-0.02,0.0937498919665813,0.275000423192978,
Digital Sample Count:,0,,-0.015,0.0781248901039362,0.275000423192978,
,,,-0.01,0.109374893829226,0.306250419467688,
Setup Text Information:,,,-0.005,0.0937498919665813,0.275000423192978,
ANALOG,,,0,1.98437511734664,2.15000019967556,
Channel 1,,,0.005,2.17187513969839,2.18125019595027,
Scale,500 mV/,,0.01,2.18750014156103,2.21250019222498,
Pos,1 V,,0.015,2.20312514342368,2.21250019222498,
Coup,,,0.02,2.1406251359731,2.18125019595027,
BW,Off,,0.025,2.17187513969839,2.15000019967556,
Inv,Off,,0.03,2.15625013783574,2.18125019595027,
Imp,1M Ohm,,0.035,2.17187513969839,2.21250019222498,
Trace Label,1,,0.04,2.20312514342368,2.18125019595027,
Probe,10,,0.045,2.17187513969839,2.18125019595027,
Skew,0 s,,0.05,2.18750014156103,2.21250019222498,
,,,0.055,2.18750014156103,2.18125019595027,
Channel 4,,,0.06,2.15625013783574,2.18125019595027,
Scale,1 V/,,0.065,2.17187513969839,2.15000019967556,
Pos,3.025 V,,0.07,2.18750014156103,2.24375018849969,
Coup,,,0.075,2.21875014528632,2.21250019222498,
BW,Off,,0.08,2.17187513969839,2.18125019595027,
Inv,Off,,0.085,2.20312514342368,2.18125019595027,
Imp,1M Ohm,,0.09,2.20312514342368,2.24375018849969,
Trace Label,4,,0.095,2.18750014156103,2.18125019595027,
Probe,10,,0.1,2.18750014156103,2.21250019222498,
Skew,0 s,,0.105,2.18750014156103,2.21250019222498,
,,,0.11,2.17187513969839,2.15000019967556,
