Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,0.172499895095825,0.0250004529953003,
Firmware Version:,06.20.0000,,-0.04,0.172499895095825,-0.00624954327940941,
Start Time:,2020-10-21 22:54:14.549,,-0.035,0.201249897480011,0.0250004529953003,
,,,-0.03,0.172499895095825,-0.00624954327940941,
Analog Sample Count:,1000,,-0.025,0.201249897480011,-0.00624954327940941,
Function Sample Count:,0,,-0.02,0.172499895095825,0.0250004529953003,
Waveform Memory Sample Count:,0,,-0.015,0.172499895095825,0.0250004529953003,
Digital Sample Count:,0,,-0.01,0.201249897480011,0.0250004529953003,
,,,-0.005,0.201249897480011,0.0250004529953003,
Setup Text Information:,,,0,2.07000005245209,2.02500021457672,
ANALOG,,,0.005,2.0412500500679,2.05625021085143,
Channel 1,,,0.01,2.07000005245209,2.05625021085143,
Scale,920 mV/,,0.015,2.0412500500679,2.02500021457672,
Pos,1.84 V,,0.02,2.07000005245209,2.08750020712614,
Coup,,,0.025,2.09875005483627,2.05625021085143,
BW,Off,,0.03,2.07000005245209,2.11875020340085,
Inv,Off,,0.035,2.07000005245209,2.08750020712614,
Imp,1M Ohm,,0.04,2.07000005245209,2.05625021085143,
Trace Label,1,,0.045,2.09875005483627,2.08750020712614,
Probe,10,,0.05,2.09875005483627,2.05625021085143,
Skew,0 s,,0.055,2.0412500500679,2.05625021085143,
,,,0.06,2.0412500500679,2.05625021085143,
Channel 4,,,0.065,2.0412500500679,2.05625021085143,
Scale,1 V/,,0.07,2.07000005245209,2.05625021085143,
Pos,3.025 V,,0.075,2.0412500500679,2.05625021085143,
Coup,,,0.08,2.0412500500679,2.08750020712614,
BW,Off,,0.085,2.0412500500679,2.05625021085143,
Inv,Off,,0.09,2.0412500500679,2.02500021457672,
Imp,1M Ohm,,0.095,2.01250004768372,2.05625021085143,
Trace Label,4,,0.1,2.0412500500679,2.02500021457672,
Probe,10,,0.105,2.0412500500679,2.05625021085143,
Skew,0 s,,0.11,2.0412500500679,2.02500021457672,
,,,0.115,2.01250004768372,2.02500021457672,
MATH,,,0.12,2.01250004768372,2.02500021457672,
DIGITAL,,,0.125,2.0412500500679,2.02500021457672,
TRIGGER,,,0.13,2.0412500500679,2.02500021457672,
Sweep Mode,NORM,,0.135,2.07000005245209,2.02500021457672,
Coup,DC,,0.14,2.0412500500679,2.02500021457672,
Noise Rej,Off,,0.145,2.0412500500679,2.02500021457672,
HF Rej,Off,,0.15,2.0412500500679,1.99375021830201,
Holdoff,60.0 ns,,0.155,2.0412500500679,2.05625021085143,
Mode,EDGE,,0.16,2.0412500500679,2.05625021085143,
Source,CHAN1,,0.165,2.0412500500679,1.99375021830201,
Slope,POS,,0.17,2.01250004768372,2.05625021085143,
Level,920 mV V,,0.175,2.0412500500679,2.05625021085143,
,,,0.18,2.01250004768372,2.05625021085143,
HORIZONTAL,,,0.185,2.0412500500679,2.02500021457672,
Mode,MAIN,,0.19,2.01250004768372,2.02500021457672,
Ref,CENT,,0.195,2.01250004768372,2.02500021457672,
Main Scale,500 ms/,,0.2,2.01250004768372,2.02500021457672,
Main Delay,2.455 s,,0.205,2.01250004768372,2.02500021457672,
,,,0.21,2.01250004768372,2.02500021457672,
ACQUISITION,,,0.215,2.0412500500679,2.05625021085143,
Mode,NORM,,0.22,2.0412500500679,1.99375021830201,
RealTime,On,,0.225,2.0412500500679,2.02500021457672,
Vectors,On,,0.23,2.07000005245209,2.02500021457672,
Persistence,Off,,0.235,2.01250004768372,2.05625021085143,
,,,0.24,1.98375004529953,2.05625021085143,
,,,0.245,2.0412500500679,2.02500021457672,
,,,0.25,1.98375004529953,2.02500021457672,
,,,0.255,2.0412500500679,2.02500021457672,
,,,0.26,2.01250004768372,1.9625002220273,
,,,0.265,1.95500004291534,1.99375021830201,
,,,0.27,1.95500004291534,1.9625002220273,
,,,0.275,1.98375004529953,1.99375021830201,
,,,0.28,1.98375004529953,1.99375021830201,
,,,0.285,1.98375004529953,1.9625002220273,
,,,0.29,1.98375004529953,1.99375021830201,
,,,0.295,1.95500004291534,1.9625002220273,
,,,0.3,1.95500004291534,1.9625002220273,
,,,0.305,1.98375004529953,1.9625002220273,
,,,0.31,1.92625004053116,1.93125022575259,
,,,0.315,1.92625004053116,1.9625002220273,
,,,0.32,1.92625004053116,1.9625002220273,
,,,0.325,1.95500004291534,1.93125022575259,
,,,0.33,1.92625004053116,1.93125022575259,
,,,0.335,1.92625004053116,1.93125022575259,
,,,0.34,1.92625004053116,1.9625002220273,
,,,0.345,1.95500004291534,1.93125022575259,
,,,0.35,1.92625004053116,1.93125022575259,
,,,0.355,1.92625004053116,1.93125022575259,
,,,0.36,1.89750003814697,1.93125022575259,
,,,0.365,1.92625004053116,1.93125022575259,
,,,0.37,1.92625004053116,1.93125022575259,
,,,0.375,1.92625004053116,1.90000022947788,
,,,0.38,1.95500004291534,1.93125022575259,
,,,0.385,1.95500004291534,1.90000022947788,
,,,0.39,1.92625004053116,1.90000022947788,
