firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0242.vcc,0237.ReadRate,0242.ReadRate,0237.peak_rssi,0242.peak_rssi
115,2,0,0,1,3.7468974,3706,3760,1.86226120224604,3.7228425615465,-18,-18
115,2,0,0,1,3.5529239,3652,3750,5.50690814091737,75.9396995391545,-21,-20
115,2,0,0,1,3.6168462,3678,3752,4.34513021703491,86.5751394292621,-19,-18
115,2,0,0,1,3.5446616,3664,3752,5.41406205164799,21.5844962880063,-19,-17
115,2,0,0,1,3.4556163,3666,3756,17.9404270180439,46.1411307230142,-21,-18
115,2,0,0,1,3.3555687,3656,3750,5.73506631743936,39.8835855115469,-19,-17
115,2,0,0,1,4.3134266,3664,3752,4.58095276487985,31.0958395987748,-18,-18
115,2,0,0,1,3.7865112,3666,3730,3.73568113421256,18.6006784039428,-21,-18
115,2,0,0,1,3.8246802,3666,3750,5.573197822886,21.9262062565333,-18,-17
115,2,0,0,1,3.6531644,3664,3756,5.34008890180004,63.7614132929794,-18,-18
115,2,0,0,1,3.7305699,3670,3750,4.46014415185899,13.3530364804957,-19,-18
115,2,0,0,1,4.0434712,3656,3746,30.3990868114322,7.54784769349096,-18,-18
115,2,0,0,1,4.1431306,3660,3746,4.34657125073457,8.66918853361109,-18,-17
115,2,0,0,1,3.6891974,3656,3726,3.56645209702034,28.467430946019,-18,-18
115,2,0,0,1,3.9536058,3660,3738,4.71612689022366,65.5497918560002,-19,-17
115,2,0,0,1,3.1921729,3656,3746,25.6158203306362,12.7562165826989,-19,-18
115,2,0,0,1,3.6558166,3660,3752,8.93382004784954,8.90353817703617,-18,-17
115,2,0,0,1,3.572194,3636,3722,4.14496432429206,12.4018907095783,-19,-18
115,2,0,0,1,3.4956993,3682,3760,5.51157016366608,16.3418808633307,-19,-18
115,2,0,0,1,3.6232594,3674,3756,6.11276461393918,11.8492257123458,-18,-17
115,2,0,0,1,3.3574439,3670,3752,6.0884468676463,78.1128887468169,-21,-20
115,2,0,0,1,3.3921904,3652,3738,4.5944206274784,13.703091463111,-17,-18
