Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,0.525,2.15625005960464,2.18125019595027,
,,,0.53,2.15625005960464,2.21250019222498,
,,,0.535,2.18500006198883,2.18125019595027,
,,,0.54,2.12750005722046,2.15000019967556,
,,,0.545,2.15625005960464,2.15000019967556,
,,,0.55,2.12750005722046,2.15000019967556,
,,,0.555,2.15625005960464,2.15000019967556,
,,,0.56,2.12750005722046,2.11875020340085,
,,,0.565,2.12750005722046,2.11875020340085,
,,,0.57,2.12750005722046,2.11875020340085,
,,,0.575,2.12750005722046,2.11875020340085,
,,,0.58,2.12750005722046,2.11875020340085,
,,,0.585,2.12750005722046,2.15000019967556,
,,,0.59,2.09875005483627,2.11875020340085,
,,,0.595,2.09875005483627,2.11875020340085,
,,,0.6,2.12750005722046,2.11875020340085,
,,,0.605,2.12750005722046,2.08750020712614,
,,,0.61,2.09875005483627,2.11875020340085,
,,,0.615,2.12750005722046,2.11875020340085,
,,,0.62,2.09875005483627,2.11875020340085,
,,,0.625,2.12750005722046,2.11875020340085,
,,,0.63,2.12750005722046,2.11875020340085,
,,,0.635,2.12750005722046,2.08750020712614,
,,,0.64,2.09875005483627,2.11875020340085,
,,,0.645,2.07000005245209,2.11875020340085,
,,,0.65,2.12750005722046,2.08750020712614,
,,,0.655,2.09875005483627,2.11875020340085,
,,,0.66,2.09875005483627,2.11875020340085,
,,,0.665,2.09875005483627,2.11875020340085,
,,,0.67,2.09875005483627,2.08750020712614,
,,,0.675,2.12750005722046,2.11875020340085,
,,,0.68,2.09875005483627,2.08750020712614,
,,,0.685,2.09875005483627,2.08750020712614,
,,,0.69,2.09875005483627,2.11875020340085,
,,,0.695,2.07000005245209,2.11875020340085,
,,,0.7,2.09875005483627,2.08750020712614,
,,,0.705,2.09875005483627,2.08750020712614,
,,,0.71,2.09875005483627,2.11875020340085,
,,,0.715,2.09875005483627,2.08750020712614,
,,,0.72,2.07000005245209,2.08750020712614,
,,,0.725,2.12750005722046,2.15000019967556,
,,,0.73,2.09875005483627,2.11875020340085,
,,,0.735,2.12750005722046,2.11875020340085,
,,,0.74,2.15625005960464,2.15000019967556,
,,,0.745,2.18500006198883,2.18125019595027,
,,,0.75,2.18500006198883,2.15000019967556,
,,,0.755,2.18500006198883,2.18125019595027,
,,,0.76,2.18500006198883,2.24375018849969,
,,,0.765,2.18500006198883,2.18125019595027,
,,,0.77,2.21375006437302,2.18125019595027,
,,,0.775,2.2425000667572,2.21250019222498,
,,,0.78,2.21375006437302,2.21250019222498,
,,,0.785,2.2425000667572,2.18125019595027,
,,,0.79,2.21375006437302,2.18125019595027,
,,,0.795,2.21375006437302,2.21250019222498,
,,,0.8,2.21375006437302,2.21250019222498,
,,,0.805,2.21375006437302,2.18125019595027,
,,,0.81,2.18500006198883,2.21250019222498,
,,,0.815,2.18500006198883,2.21250019222498,
,,,0.82,2.21375006437302,2.21250019222498,
,,,0.825,2.18500006198883,2.15000019967556,
,,,0.83,2.21375006437302,2.18125019595027,
,,,0.835,2.18500006198883,2.21250019222498,
,,,0.84,2.2425000667572,2.21250019222498,
,,,0.845,2.21375006437302,2.18125019595027,
,,,0.85,2.18500006198883,2.18125019595027,
,,,0.855,2.21375006437302,2.21250019222498,
,,,0.86,2.18500006198883,2.21250019222498,
,,,0.865,2.21375006437302,2.18125019595027,
,,,0.87,2.18500006198883,2.24375018849969,
,,,0.875,2.15625005960464,2.18125019595027,
,,,0.88,2.21375006437302,2.18125019595027,
,,,0.885,2.18500006198883,2.18125019595027,
,,,0.89,2.21375006437302,2.21250019222498,
,,,0.895,2.21375006437302,2.21250019222498,
,,,0.9,2.21375006437302,2.18125019595027,
,,,0.905,2.18500006198883,2.18125019595027,
,,,0.91,2.21375006437302,2.21250019222498,
,,,0.915,2.21375006437302,2.18125019595027,
,,,0.92,2.21375006437302,2.21250019222498,
,,,0.925,2.21375006437302,2.21250019222498,
,,,0.93,2.18500006198883,2.18125019595027,
,,,0.935,2.18500006198883,2.18125019595027,
,,,0.94,2.18500006198883,2.21250019222498,
,,,0.945,2.18500006198883,2.18125019595027,
,,,0.95,2.21375006437302,2.18125019595027,
,,,0.955,2.18500006198883,2.18125019595027,
,,,0.96,2.18500006198883,2.15000019967556,
,,,0.965,2.18500006198883,2.15000019967556,
,,,0.97,2.18500006198883,2.18125019595027,
,,,0.975,2.15625005960464,2.15000019967556,
,,,0.98,2.15625005960464,2.15000019967556,
,,,0.985,2.12750005722046,2.15000019967556,
,,,0.99,2.18500006198883,2.15000019967556,
,,,0.995,2.15625005960464,2.15000019967556,
,,,1,2.15625005960464,2.15000019967556,
,,,1.005,2.18500006198883,2.15000019967556,
,,,1.01,2.18500006198883,2.18125019595027,
