Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,0.66,-0.0575001239776611,1.08750032633543,
,,,0.665,-0.0287501215934753,1.05625033006072,
,,,0.67,-0.0287501215934753,1.05625033006072,
,,,0.675,-0.0287501215934753,0.993750337511301,
,,,0.68,-0.0575001239776611,0.993750337511301,
,,,0.685,-0.0287501215934753,1.02500033378601,
,,,0.69,-0.0575001239776611,1.02500033378601,
,,,0.695,-0.0287501215934753,0.993750337511301,
,,,0.7,-0.0575001239776611,1.02500033378601,
,,,0.705,-0.0575001239776611,0.993750337511301,
,,,0.71,-0.0287501215934753,1.02500033378601,
,,,0.715,-0.0287501215934753,0.962500341236591,
,,,0.72,-0.0575001239776611,0.993750337511301,
,,,0.725,-0.0287501215934753,0.962500341236591,
,,,0.73,-1.19209289550781E-07,0.962500341236591,
,,,0.735,-1.19209289550781E-07,0.931250344961882,
,,,0.74,-0.0287501215934753,0.962500341236591,
,,,0.745,-0.0575001239776611,0.931250344961882,
,,,0.75,-1.19209289550781E-07,0.962500341236591,
,,,0.755,-0.0287501215934753,0.993750337511301,
,,,0.76,-0.0287501215934753,0.962500341236591,
,,,0.765,-0.0575001239776611,0.962500341236591,
,,,0.77,-0.0287501215934753,0.931250344961882,
,,,0.775,-1.19209289550781E-07,0.962500341236591,
,,,0.78,-0.0287501215934753,0.962500341236591,
,,,0.785,-0.0287501215934753,0.931250344961882,
,,,0.79,-0.0287501215934753,0.962500341236591,
,,,0.795,-1.19209289550781E-07,0.931250344961882,
,,,0.8,-1.19209289550781E-07,0.900000348687172,
,,,0.805,-0.0575001239776611,0.931250344961882,
,,,0.81,-0.0287501215934753,0.900000348687172,
,,,0.815,-0.0575001239776611,0.931250344961882,
,,,0.82,-0.0575001239776611,0.900000348687172,
,,,0.825,-0.0287501215934753,0.931250344961882,
,,,0.83,-0.0287501215934753,0.900000348687172,
,,,0.835,-0.0287501215934753,0.900000348687172,
,,,0.84,-0.0287501215934753,0.931250344961882,
,,,0.845,-0.0575001239776611,0.900000348687172,
,,,0.85,2.15625005960464,2.15000019967556,
,,,0.855,2.15625005960464,2.11875020340085,
,,,0.86,2.09875005483627,2.11875020340085,
,,,0.865,2.07000005245209,2.08750020712614,
,,,0.87,2.0412500500679,2.08750020712614,
,,,0.875,2.01250004768372,2.02500021457672,
,,,0.88,2.01250004768372,1.99375021830201,
,,,0.885,1.95500004291534,1.9625002220273,
,,,0.89,1.95500004291534,1.93125022575259,
,,,0.895,1.89750003814697,1.86875023320317,
,,,0.9,1.89750003814697,1.90000022947788,
,,,0.905,1.86875003576279,1.86875023320317,
,,,0.91,-0.0575001239776611,1.77500024437904,
,,,0.915,-0.0287501215934753,1.77500024437904,
,,,0.92,-0.0287501215934753,1.74375024810433,
,,,0.925,-0.0287501215934753,1.74375024810433,
,,,0.93,-0.0287501215934753,1.68125025555491,
,,,0.935,-0.0287501215934753,1.68125025555491,
,,,0.94,-0.0287501215934753,1.68125025555491,
,,,0.945,-0.0287501215934753,1.6187502630055,
,,,0.95,-0.0287501215934753,1.6500002592802,
,,,0.955,-0.0287501215934753,1.6187502630055,
