Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,0.515,2.18750014156103,2.21250019222498,
,,,0.52,2.20312514342368,2.21250019222498,
,,,0.525,2.18750014156103,2.18125019595027,
,,,0.53,2.17187513969839,2.15000019967556,
,,,0.535,2.18750014156103,2.18125019595027,
,,,0.54,2.21875014528632,2.21250019222498,
,,,0.545,2.23437514714897,2.24375018849969,
,,,0.55,2.12500013411045,2.11875020340085,
,,,0.555,2.17187513969839,2.15000019967556,
,,,0.56,2.21875014528632,2.21250019222498,
,,,0.565,2.20312514342368,2.21250019222498,
,,,0.57,2.21875014528632,2.18125019595027,
,,,0.575,2.18750014156103,2.21250019222498,
,,,0.58,2.20312514342368,2.24375018849969,
,,,0.585,2.20312514342368,2.21250019222498,
,,,0.59,2.21875014528632,2.21250019222498,
,,,0.595,2.09375013038516,2.08750020712614,
,,,0.6,2.12500013411045,2.15000019967556,
,,,0.605,2.1406251359731,2.15000019967556,
,,,0.61,2.1406251359731,2.18125019595027,
,,,0.615,2.07812512852252,2.08750020712614,
,,,0.62,2.06250012665987,2.08750020712614,
,,,0.625,2.1406251359731,2.11875020340085,
,,,0.63,2.1406251359731,2.18125019595027,
,,,0.635,2.1406251359731,2.08750020712614,
,,,0.64,2.03125012293458,2.05625021085143,
,,,0.645,2.09375013038516,2.05625021085143,
,,,0.65,2.10937513224781,2.15000019967556,
,,,0.655,2.15625013783574,2.15000019967556,
,,,0.66,2.01562512107193,2.02500021457672,
,,,0.665,2.07812512852252,2.08750020712614,
,,,0.67,2.12500013411045,2.11875020340085,
,,,0.675,2.1406251359731,2.15000019967556,
,,,0.68,2.04687512479723,2.02500021457672,
,,,0.685,2.09375013038516,2.11875020340085,
,,,0.69,2.10937513224781,2.08750020712614,
,,,0.695,2.17187513969839,2.15000019967556,
,,,0.7,2.17187513969839,2.21250019222498,
,,,0.705,2.20312514342368,2.15000019967556,
,,,0.71,2.15625013783574,2.21250019222498,
,,,0.715,2.07812512852252,2.05625021085143,
,,,0.72,2.07812512852252,2.11875020340085,
,,,0.725,2.12500013411045,2.11875020340085,
,,,0.73,2.17187513969839,2.15000019967556,
,,,0.735,2.00000011920929,2.02500021457672,
,,,0.74,2.06250012665987,2.08750020712614,
,,,0.745,2.09375013038516,2.08750020712614,
,,,0.75,2.15625013783574,2.15000019967556,
,,,0.755,2.17187513969839,2.18125019595027,
,,,0.76,2.18750014156103,2.21250019222498,
,,,0.765,2.15625013783574,2.15000019967556,
,,,0.77,2.09375013038516,2.08750020712614,
,,,0.775,2.15625013783574,2.15000019967556,
,,,0.78,2.1406251359731,2.11875020340085,
,,,0.785,2.15625013783574,2.18125019595027,
,,,0.79,2.18750014156103,2.21250019222498,
,,,0.795,2.15625013783574,2.15000019967556,
,,,0.8,2.10937513224781,2.08750020712614,
,,,0.805,2.1406251359731,2.15000019967556,
,,,0.81,2.15625013783574,2.18125019595027,
,,,0.815,2.21875014528632,2.24375018849969,
,,,0.82,2.09375013038516,2.08750020712614,
,,,0.825,2.1406251359731,2.15000019967556,
,,,0.83,2.18750014156103,2.15000019967556,
,,,0.835,2.20312514342368,2.21250019222498,
,,,0.84,2.07812512852252,2.08750020712614,
,,,0.845,2.09375013038516,2.11875020340085,
,,,0.85,2.1406251359731,2.18125019595027,
,,,0.855,2.17187513969839,2.15000019967556,
,,,0.86,2.12500013411045,2.15000019967556,
,,,0.865,2.10937513224781,2.11875020340085,
,,,0.87,2.1406251359731,2.15000019967556,
,,,0.875,2.18750014156103,2.21250019222498,
,,,0.88,2.23437514714897,2.24375018849969,
,,,0.885,2.09375013038516,2.08750020712614,
,,,0.89,2.1406251359731,2.15000019967556,
,,,0.895,2.18750014156103,2.18125019595027,
,,,0.9,2.21875014528632,2.21250019222498,
,,,0.905,2.25000014901161,2.24375018849969,
,,,0.91,2.23437514714897,2.2750001847744,
,,,0.915,2.09375013038516,2.11875020340085,
,,,0.92,2.15625013783574,2.18125019595027,
,,,0.925,2.20312514342368,2.18125019595027,
,,,0.93,2.20312514342368,2.21250019222498,
,,,0.935,2.07812512852252,2.05625021085143,
,,,0.94,2.10937513224781,2.11875020340085,
,,,0.945,2.15625013783574,2.18125019595027,
,,,0.95,2.20312514342368,2.21250019222498,
,,,0.955,2.21875014528632,2.21250019222498,
,,,0.96,2.18750014156103,2.18125019595027,
,,,0.965,2.15625013783574,2.15000019967556,
,,,0.97,2.1406251359731,2.08750020712614,
,,,0.975,2.12500013411045,2.15000019967556,
,,,0.98,2.12500013411045,2.08750020712614,
,,,0.985,2.15625013783574,2.15000019967556,
,,,0.99,2.21875014528632,2.21250019222498,
,,,0.995,2.17187513969839,2.21250019222498,
,,,1,2.15625013783574,2.15000019967556,
,,,1.005,2.12500013411045,2.11875020340085,
