Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,0.07,-0.0287501215934753,1.68125025555491,
,,,0.071,-0.0287501215934753,1.6187502630055,
,,,0.072,-0.0287501215934753,1.6187502630055,
,,,0.073,-1.19209289550781E-07,1.6500002592802,
,,,0.074,-0.0287501215934753,1.6500002592802,
,,,0.075,-0.0287501215934753,1.6187502630055,
,,,0.076,-1.19209289550781E-07,1.6500002592802,
,,,0.077,-1.19209289550781E-07,1.6187502630055,
,,,0.078,-1.19209289550781E-07,1.6187502630055,
,,,0.079,-0.0287501215934753,1.6187502630055,
,,,0.08,-1.19209289550781E-07,1.58750026673079,
,,,0.081,-0.0287501215934753,1.58750026673079,
,,,0.082,-0.0287501215934753,1.6187502630055,
,,,0.083,-1.19209289550781E-07,1.6187502630055,
,,,0.084,-0.0287501215934753,1.58750026673079,
,,,0.085,-0.0287501215934753,1.58750026673079,
,,,0.086,-0.0287501215934753,1.6187502630055,
,,,0.087,-0.0287501215934753,1.58750026673079,
,,,0.088,-1.19209289550781E-07,1.58750026673079,
,,,0.089,-1.19209289550781E-07,1.55625027045608,
,,,0.09,-0.0287501215934753,1.58750026673079,
,,,0.091,-0.0287501215934753,1.58750026673079,
,,,0.092,-1.19209289550781E-07,1.55625027045608,
,,,0.093,-0.0287501215934753,1.55625027045608,
,,,0.094,-1.19209289550781E-07,1.55625027045608,
,,,0.095,-1.19209289550781E-07,1.55625027045608,
,,,0.096,-1.19209289550781E-07,1.55625027045608,
,,,0.097,-1.19209289550781E-07,1.55625027045608,
,,,0.098,-0.0287501215934753,1.52500027418137,
,,,0.099,-1.19209289550781E-07,1.55625027045608,
,,,0.1,-1.19209289550781E-07,1.55625027045608,
,,,0.101,-1.19209289550781E-07,1.52500027418137,
,,,0.102,-1.19209289550781E-07,1.55625027045608,
,,,0.103,-1.19209289550781E-07,1.55625027045608,
,,,0.104,-1.19209289550781E-07,1.49375027790666,
,,,0.105,-1.19209289550781E-07,1.52500027418137,
,,,0.106,-1.19209289550781E-07,1.55625027045608,
,,,0.107,-0.0287501215934753,1.52500027418137,
,,,0.108,-1.19209289550781E-07,1.49375027790666,
,,,0.109,-0.0287501215934753,1.49375027790666,
,,,0.11,-1.19209289550781E-07,1.49375027790666,
,,,0.111,-0.0287501215934753,1.49375027790666,
,,,0.112,-1.19209289550781E-07,1.49375027790666,
,,,0.113,-0.0287501215934753,1.49375027790666,
,,,0.114,-1.19209289550781E-07,1.49375027790666,
,,,0.115,-1.19209289550781E-07,1.49375027790666,
,,,0.116,-1.19209289550781E-07,1.49375027790666,
,,,0.117,-0.0287501215934753,1.49375027790666,
,,,0.118,-1.19209289550781E-07,1.46250028163195,
,,,0.119,-0.0287501215934753,1.46250028163195,
,,,0.12,-0.0287501215934753,1.49375027790666,
,,,0.121,-1.19209289550781E-07,1.46250028163195,
,,,0.122,0.0287498831748962,1.46250028163195,
,,,0.123,-1.19209289550781E-07,1.52500027418137,
,,,0.124,-1.19209289550781E-07,1.46250028163195,
,,,0.125,-0.0287501215934753,1.46250028163195,
,,,0.126,-0.0287501215934753,1.43125028535724,
,,,0.127,-0.0287501215934753,1.46250028163195,
,,,0.128,-0.0287501215934753,1.43125028535724,
,,,0.129,-1.19209289550781E-07,1.46250028163195,
,,,0.13,-0.0287501215934753,1.43125028535724,
,,,0.131,-0.0287501215934753,1.46250028163195,
,,,0.132,-1.19209289550781E-07,1.40000028908253,
,,,0.133,-1.19209289550781E-07,1.43125028535724,
,,,0.134,-1.19209289550781E-07,1.43125028535724,
,,,0.135,-1.19209289550781E-07,1.43125028535724,
,,,0.136,-1.19209289550781E-07,1.43125028535724,
,,,0.137,-1.19209289550781E-07,1.36875029280782,
,,,0.138,0.0287498831748962,1.40000028908253,
,,,0.139,-1.19209289550781E-07,1.40000028908253,
,,,0.14,-1.19209289550781E-07,1.43125028535724,
,,,0.141,-0.0287501215934753,1.36875029280782,
,,,0.142,-1.19209289550781E-07,1.40000028908253,
,,,0.143,-0.0287501215934753,1.36875029280782,
,,,0.144,-0.0287501215934753,1.40000028908253,
,,,0.145,-0.0287501215934753,1.40000028908253,
,,,0.146,-0.0287501215934753,1.40000028908253,
,,,0.147,-0.0287501215934753,1.40000028908253,
,,,0.148,-0.0287501215934753,1.36875029280782,
,,,0.149,-1.19209289550781E-07,1.33750029653311,
,,,0.15,-1.19209289550781E-07,1.36875029280782,
,,,0.151,-1.19209289550781E-07,1.36875029280782,
,,,0.152,-1.19209289550781E-07,1.33750029653311,
,,,0.153,-1.19209289550781E-07,1.36875029280782,
,,,0.154,-1.19209289550781E-07,1.36875029280782,
,,,0.155,-0.0287501215934753,1.33750029653311,
,,,0.156,-0.0287501215934753,1.36875029280782,
,,,0.157,-0.0287501215934753,1.33750029653311,
,,,0.158,-1.19209289550781E-07,1.33750029653311,
,,,0.159,-0.0575001239776611,1.27500030398369,
,,,0.16,-1.19209289550781E-07,1.27500030398369,
,,,0.161,0.0287498831748962,1.27500030398369,
,,,0.162,-1.19209289550781E-07,1.24375030770898,
,,,0.163,-1.19209289550781E-07,1.21250031143427,
,,,0.164,-0.0287501215934753,1.27500030398369,
,,,0.165,0.0287498831748962,1.21250031143427,
,,,0.166,-0.0287501215934753,1.21250031143427,
,,,0.167,-0.0287501215934753,1.21250031143427,
,,,0.168,-0.0287501215934753,1.24375030770898,
,,,0.169,-1.19209289550781E-07,1.21250031143427,
,,,0.17,-0.0287501215934753,1.21250031143427,
,,,0.171,-1.19209289550781E-07,1.21250031143427,
,,,0.172,-1.19209289550781E-07,1.15000031888485,
,,,0.173,-0.0575001239776611,1.18125031515956,
,,,0.174,-1.19209289550781E-07,1.21250031143427,
,,,0.175,-1.19209289550781E-07,1.15000031888485,
,,,0.176,-0.0287501215934753,1.18125031515956,
,,,0.177,-0.0287501215934753,1.15000031888485,
,,,0.178,-1.19209289550781E-07,1.18125031515956,
,,,0.179,-0.0287501215934753,1.11875032261014,
,,,0.18,-1.19209289550781E-07,1.11875032261014,
,,,0.181,-0.0287501215934753,1.15000031888485,
,,,0.182,-1.19209289550781E-07,1.11875032261014,
,,,0.183,-0.0287501215934753,1.11875032261014,
,,,0.184,-1.19209289550781E-07,1.11875032261014,
,,,0.185,-0.0287501215934753,1.15000031888485,
,,,0.186,-1.19209289550781E-07,1.11875032261014,
,,,0.187,-1.19209289550781E-07,1.15000031888485,
,,,0.188,-0.0287501215934753,1.11875032261014,
,,,0.189,-0.0287501215934753,1.11875032261014,
,,,0.19,-0.0287501215934753,1.11875032261014,
,,,0.191,-0.0287501215934753,1.08750032633543,
,,,0.192,-0.0287501215934753,1.08750032633543,
,,,0.193,-1.19209289550781E-07,1.08750032633543,
,,,0.194,-1.19209289550781E-07,1.90000022947788,
,,,0.195,2.15625005960464,2.18125019595027,
,,,0.196,2.18500006198883,2.18125019595027,
,,,0.197,2.21375006437302,2.21250019222498,
,,,0.198,2.18500006198883,2.21250019222498,
,,,0.199,2.15625005960464,2.18125019595027,
,,,0.2,2.18500006198883,2.18125019595027,
,,,0.201,2.15625005960464,2.15000019967556,
,,,0.202,2.15625005960464,2.15000019967556,
,,,0.203,2.15625005960464,2.18125019595027,
,,,0.204,2.12750005722046,2.15000019967556,
,,,0.205,2.12750005722046,2.11875020340085,
,,,0.206,2.12750005722046,2.11875020340085,
,,,0.207,2.15625005960464,2.15000019967556,
,,,0.208,2.09875005483627,2.11875020340085,
,,,0.209,2.09875005483627,2.11875020340085,
,,,0.21,2.15625005960464,2.11875020340085,
,,,0.211,2.09875005483627,2.08750020712614,
,,,0.212,2.09875005483627,2.11875020340085,
,,,0.213,2.09875005483627,2.05625021085143,
,,,0.214,2.09875005483627,2.02500021457672,
,,,0.215,2.07000005245209,2.11875020340085,
,,,0.216,2.07000005245209,2.05625021085143,
,,,0.217,2.07000005245209,2.05625021085143,
,,,0.218,2.07000005245209,2.08750020712614,
,,,0.219,2.07000005245209,2.05625021085143,
,,,0.22,2.0412500500679,2.02500021457672,
,,,0.221,2.01250004768372,2.02500021457672,
,,,0.222,2.07000005245209,2.02500021457672,
,,,0.223,2.0412500500679,2.02500021457672,
,,,0.224,2.01250004768372,2.02500021457672,
,,,0.225,2.01250004768372,1.99375021830201,
,,,0.226,2.0412500500679,1.99375021830201,
,,,0.227,1.95500004291534,1.99375021830201,
,,,0.228,2.01250004768372,1.99375021830201,
,,,0.229,1.98375004529953,1.9625002220273,
,,,0.23,2.01250004768372,1.9625002220273,
,,,0.231,1.98375004529953,1.9625002220273,
,,,0.232,1.95500004291534,1.99375021830201,
,,,0.233,1.98375004529953,1.90000022947788,
,,,0.234,1.95500004291534,1.93125022575259,
,,,0.235,1.95500004291534,1.90000022947788,
,,,0.236,1.92625004053116,1.93125022575259,
,,,0.237,1.92625004053116,1.93125022575259,
,,,0.238,1.92625004053116,1.90000022947788,
,,,0.239,1.92625004053116,1.93125022575259,
,,,0.24,1.89750003814697,1.90000022947788,
,,,0.241,1.89750003814697,1.93125022575259,
,,,0.242,1.92625004053116,1.86875023320317,
,,,0.243,1.89750003814697,1.86875023320317,
,,,0.244,1.89750003814697,1.86875023320317,
,,,0.245,1.89750003814697,1.83750023692846,
,,,0.246,1.86875003576279,1.86875023320317,
,,,0.247,1.86875003576279,1.83750023692846,
,,,0.248,1.86875003576279,1.83750023692846,
,,,0.249,1.8400000333786,1.86875023320317,
,,,0.25,1.8400000333786,1.83750023692846,
,,,0.251,1.86875003576279,1.80625024065375,
,,,0.252,1.8400000333786,1.83750023692846,
,,,0.253,1.8400000333786,1.77500024437904,
,,,0.254,-0.0287501215934753,1.77500024437904,
,,,0.255,-1.19209289550781E-07,1.80625024065375,
,,,0.256,-1.19209289550781E-07,1.77500024437904,
,,,0.257,0.0287498831748962,1.77500024437904,
,,,0.258,-1.19209289550781E-07,1.77500024437904,
,,,0.259,-0.0287501215934753,1.74375024810433,
,,,0.26,-0.0287501215934753,1.77500024437904,
,,,0.261,-1.19209289550781E-07,1.77500024437904,
,,,0.262,-0.0287501215934753,1.77500024437904,
,,,0.263,-0.0287501215934753,1.77500024437904,
,,,0.264,-0.0287501215934753,1.74375024810433,
,,,0.265,-0.0287501215934753,1.77500024437904,
,,,0.266,-0.0287501215934753,1.77500024437904,
,,,0.267,-0.0287501215934753,1.74375024810433,
,,,0.268,-1.19209289550781E-07,1.71250025182962,
,,,0.269,-0.0287501215934753,1.74375024810433,
