firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0235.ReadRate,0237.ReadRate,0235.peak_rssi,0237.peak_rssi
407,2,0,0,1,5.6207021,3726,3722,3.13704330531431,9.41112991594293,-18,-19
407,2,0,0,1,5.3388635,3690,3710,7.26857229249316,3.63428614624658,-17,-17
407,2,0,0,1,6.5558927,3682,3718,3.539888167853,3.539888167853,-19,-18
407,2,0,0,1,5.2134019,3714,3698,4.23114401248695,4.23114401248695,-17,-17
407,2,0,0,1,5.2086094,3710,3706,3.58681858517224,157.820017747578,-18,-18
407,2,0,0,1,5.5409793,3722,3694,5.96217595573681,5.96217595573681,-18,-18
407,2,0,0,4,13.948863,3714,3702,5.03570820689509,10.0714164137902,-17,-17
407,2,0,0,1,5.3110402,3718,3678,7.79157535914293,3.89578767957146,-17,-17
407,1,0,0,1,4.9092079,3702,3702,9.10877056191095,4.55438528095547,-17,-17
407,2,0,0,1,7.8381247,3694,3714,5.05172971225348,116.18978338183,-18,-18
407,2,0,0,1,5.6697762,3706,3694,3.57959644345616,68.012332425667,-18,-17
407,2,0,0,1,5.3613885,3718,3694,3.37899139134363,54.0638622614981,-17,-19
407,2,0,0,1,6.7133878,3710,3690,7.90462906935245,3.95231453467622,-17,-17
407,2,0,0,1,5.6389446,3710,3686,3.52116023638253,42.2539228365903,-17,-18
407,2,0,0,1,5.3711017,3698,3698,3.62997224523221,3.62997224523221,-19,-19
407,2,0,0,1,6.3497976,3710,3694,3.66803680067961,14.6721472027185,-17,-17
407,2,0,0,1,5.1484431,3706,3674,10.5288815116526,5.26444075582629,-17,-16
407,2,0,0,1,6.5507289,3694,3702,113.08284990415,4.91664564800652,-18,-17
407,2,0,0,1,5.4006543,3706,3686,22.288766573091,3.7147944288485,-17,-17
407,2,0,0,1,5.1638178,3702,3694,4.45344832730708,8.90689665461415,-18,-18
407,2,0,0,1,5.8575043,3710,3686,15.822916250491,3.95572906262275,-20,-18
407,2,0,0,1,5.7275806,3718,3686,1.89658491437393,11.3795094862436,-18,-17
407,2,0,0,1,5.8499545,3710,3694,3.62075751316236,7.24151502632472,-17,-17
407,2,0,0,1,5.4662055,3710,3694,1.9183161787909,109.344022191082,-17,-17
407,2,0,0,1,6.5580473,3690,3694,1.90342841719649,110.398848197396,-18,-18
407,2,0,0,1,5.5884612,3710,3690,7.29939261754029,3.64969630877015,-17,-17
